CUI,Canonical name
C0027540,Necrosis
C0264972,Aneurysm of hepatic artery
C0262431,Compression fracture of vertebral column
C0013687,effusion
C0333186,Restenosis
C1541124,Pyloric obstruction
C0030305,Pancreatitis
C0475319,Pelvic hematoma
C1956257,Pulmonary Stenosis
C0151693,Adrenal hemorrhage
C4511687,Pancreatic Intraductal Papillary Mucinous Neoplasm
C0600139,Prostate carcinoma
C0010051,Coronary Aneurysm
C0024121,Lung Neoplasms
C0240059,Ventricular hemorrhage
C0008707,Chronic osteomyelitis
C0333099,Fusiform Aneurysm
C0023269,leiomyosarcoma
C0475358,Tumor tissue sample
C0023370,Leriche Syndrome
C0018944,Hematoma
C0007134,Renal Cell Carcinoma
C0029445,Bone necrosis
C1142578,Bilateral pneumonia
C2317432,Effusion (substance)
C0034069,Pulmonary Fibrosis
C0521169,Compression fracture
C0040583,Tracheal Stenosis
C0011168,Deglutition Disorders
C0032019,Pituitary Neoplasms
C0740277,Bile duct carcinoma
C0553580,Ewings sarcoma
C0034088,Pulmonary Valve Insufficiency
C0010346,Crohn Disease
C0038356,Stomach Neoplasms
C0003615,Appendicitis
C0340654,Arterial hemorrhage
C0151701,Pulmonary hemorrhage
C0149521,"Pancreatitis, Chronic"
C0155747,Aneurysm of splenic artery
C0042487,Venous Thrombosis
C0238463,Papillary thyroid carcinoma
C0032300,Lobar Pneumonia
C0034065,Pulmonary Embolism
C0856747,"Aneurysm, Ascending Aorta"
C4476767,Diffuse alveolar hemorrhage
C0410480,Avascular Necrosis of Femur Head
C0016059,Fibrosis
C0002940,Aneurysm
C0012736,Dissecting aortic aneurysm
C0585442,Osteosarcoma of bone
C0152013,Adenocarcinoma of lung (disorder)
C0007124,Noninfiltrating Intraductal Carcinoma
C0263628,Tumoral calcinosis
C0235782,Gallbladder Carcinoma
C0026691,Mucocutaneous Lymph Node Syndrome
C0007131,Non-Small Cell Lung Carcinoma
C3887532,Ulceration
C0016663,Pathological fracture
C1956346,Coronary Artery Disease
C0311245,Congenital cystic kidney disease
C0277785,Functional disorder
C0948008,Ischemic stroke
C0026269,Mitral Valve Stenosis
C0333222,Septic embolus
C0221376,Hydrosalpinx (disease)
C0238408,Hematoma of rectus sheath
C0473124,Perinephric hematoma
C1370824,Interstitial emphysema
C0206692,"Carcinoma, Lobular"
C0151936,Disorder of tendon
C0149978,Adenocarcinoma of rectum
C1800706,Idiopathic Pulmonary Fibrosis
C0192389,Dilation of esophagus due to disease
C0543478,Residual Tumor
C5203670,COVID19 (disease)
C2711227,Steatohepatitis
C0022656,Kidney Cortex Necrosis
C0151705,Retroperitoneal Hemorrhage
C1306460,Primary malignant neoplasm of lung
C0023890,Liver Cirrhosis
C0018994,Biliary Tract Hemorrhage
C0027651,Neoplasms
C0008479,Chondrosarcoma
C0026267,Mitral Valve Prolapse Syndrome
C0037944,Spinal Stenosis
